role_id,role,file_name,gender,speech_count,total_words,avg_words_per_speech
jc-8,Casca,Globe_Shakespeare/jc.xml,MALE,39,1035,26.53846154
ross.,Ross,Globe_Shakespeare/mac.xml,MALE,39,897,23
alon.,ALONSO,Globe_Shakespeare/tmp.xml,MALE,40,738,18.45
con.,The Constable of France,Globe_Shakespeare/h5.xml,MALE,40,912,22.8
bion.,BIONDELLO,Globe_Shakespeare/shr.xml,MALE,41,805,19.63414634
char.,CHARLES,Globe_Shakespeare/1h6.xml,MALE,41,1012,24.68292683
d.-john.,DON JOHN,Globe_Shakespeare/ado.xml,MALE,41,893,21.7804878
shep.,Old Shepherd,Globe_Shakespeare/wt.xml,MALE,42,1043,24.83333333
sim.,Simonides,Globe_Shakespeare/per.xml,MALE,42,1113,26.5
cor-4,"Aufidius, Tullus",Globe_Shakespeare/cor.xml,MALE,45,2000,44.44444444
ros.,ROSENCRANTZ,Globe_Shakespeare/ham.xml,MALE,45,682,15.15555556
