tgv-3,SPEED,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-9,LAUNCE,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-7,PANTHINO,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-5,JULIA,Globe_Shakespeare/tgv.xml,,FEMALE,GD
tgv-8,SILVIA,Globe_Shakespeare/tgv.xml,,FEMALE,GD
tgv-6,LUCETTA,Globe_Shakespeare/tgv.xml,,FEMALE,GD
duke.,The DUKE OF VENICE,Globe_Shakespeare/mv.xml,,MALE,GD
mor.,The PRINCE OF MOROCCO,Globe_Shakespeare/mv.xml,,MALE,GD
ar.,The PRINCE OF ARRAGON,Globe_Shakespeare/mv.xml,,MALE,GD
ant.,ANTONIO,Globe_Shakespeare/mv.xml,,MALE,GD
bass.,BASSANIO,Globe_Shakespeare/mv.xml,,MALE,GD
salan.,SALANIO,Globe_Shakespeare/mv.xml,,MALE,GD
salar.,SALARINO,Globe_Shakespeare/mv.xml,,MALE,GD
gra.,GRATIANO,Globe_Shakespeare/mv.xml,,male,JM
saler.,SALERIO,Globe_Shakespeare/mv.xml,,male,JM
lor.,LORENZO,Globe_Shakespeare/mv.xml,,male,JM
shy.,SHYLOCK,Globe_Shakespeare/mv.xml,,male,JM
tub.,TUBAL,Globe_Shakespeare/mv.xml,,male,JM
laun.,LAUNCELOT GOBBO,Globe_Shakespeare/mv.xml,,male,JM
gob.,OLD GOBBO,Globe_Shakespeare/mv.xml,,male,JM
leon.,LEONARDO,Globe_Shakespeare/mv.xml,,male,JM
balth.,BALTHASAR,Globe_Shakespeare/mv.xml,,male,JM
steph.,STEPHANO,Globe_Shakespeare/mv.xml,,male,JM
por.,PORTIA,Globe_Shakespeare/mv.xml,,female,JM
ner.,NERISSA,Globe_Shakespeare/mv.xml,,female,JM
jes.,JESSICA,Globe_Shakespeare/mv.xml,,female,JM
clerk.,Clerk,Globe_Shakespeare/mv.xml,,male,JM
serv.,Servants to Portia,Globe_Shakespeare/mv.xml,,male,JM
all.,All.,Globe_Shakespeare/mv.xml,,male,JM
lr-11,LEAR,Globe_Shakespeare/lr.xml,,male,JM
lr-6,KING OF FRANCE,Globe_Shakespeare/lr.xml,,male,JM
lr-2,DUKE OF BURGUNDY,Globe_Shakespeare/lr.xml,,male,JM
lr-4,DUKE OF CORNWALL,Globe_Shakespeare/lr.xml,,male,JM
lr-1,DUKE OF ALBANY,Globe_Shakespeare/lr.xml,,male,JM
lr-9,EARL OF KENT,Globe_Shakespeare/lr.xml,,male,JM
